"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
0,2540,72.02,11.293,114.6
0,2541,72.048,11.069,114.63
0,2542,71.973,11.209,114.69
0,2543,72.122,11.275,114.46
241.8,2544,72.125,11.075,114.52
0,2545,72.209,11.249,114.34
240.52,2546,72.208,11.054,114.4
0,2547,72.271,11.205,114.26
238.84,2548,72.287,11.032,114.29
235.65,2549,72.322,11.141,114.19
0,2562,72.041,10.905,114.68
242.29,2564,72.13,10.867,114.57
239.99,2565,72.21,10.848,114.45
238.26,2566,72.289,10.833,114.34
235.1,2567,72.364,10.978,114.17
236.78,2568,72.354,10.844,114.23
236.11,2569,72.43,10.809,114.1
243.3,2599,72.119,10.681,114.61
241.8,2600,72.204,10.641,114.5
240.17,2601,72.288,10.626,114.38
239.12,2602,72.374,10.636,114.24
237.85,2603,72.444,10.636,114.12
242.91,2630,72.082,10.529,114.68
241.52,2631,72.178,10.443,114.57
239.95,2632,72.268,10.413,114.44
239.28,2633,72.353,10.417,114.31
237.7,2634,72.459,10.496,114.13
237.85,2635,72.425,10.407,114.2
237.29,2636,72.509,10.296,114.07
241.13,2658,72.135,10.259,114.64
239.6,2659,72.234,10.198,114.51
239.16,2660,72.334,10.201,114.36
238.12,2661,72.426,10.217,114.22
236.77,2662,72.502,10.05,114.11
240.66,2682,72.3,9.989,114.42
239.8,2683,72.406,10.007,114.26
238.35,2684,72.481,9.8194,114.15
242.21,2708,72.28,9.772,114.45
241.41,2709,72.38,9.7944,114.31
239.91,2710,72.448,9.6005,114.21
241.2,2725,72.345,9.5757,114.36
240.55,2726,72.399,9.4419,114.27
241.03,2736,72.315,9.2976,114.38
234.73,2864,59.403,21.676,115.79
234.73,2865,59.418,21.529,115.92
234.73,2866,59.173,21.608,115.86
234.73,2867,59.609,21.57,115.88
230.02,2868,57.641,21.917,115.53
230.12,2869,57.564,21.825,115.61
234.14,2871,57.896,21.89,115.57
234.24,2872,57.738,21.789,115.66
234.28,2873,58.163,21.853,115.62
234.56,2874,57.998,21.751,115.71
234.27,2875,58.435,21.795,115.69
234.73,2876,58.277,21.704,115.77
234.51,2877,58.746,21.741,115.74
234.73,2878,58.573,21.652,115.82
234.73,2879,58.971,21.676,115.8
234.73,2880,58.879,21.592,115.88
234.78,2881,59.751,21.428,115.99
246.99,2891,61.295,20.915,116.21
247.01,2893,61.59,20.808,116.23
247.01,2895,61.87,20.701,116.25
247.19,2896,61.672,20.628,116.35
247.01,2897,62.122,20.614,116.25
247.24,2898,61.997,20.526,116.35
248.45,2899,62.233,20.513,116.3
225.82,2903,57.194,21.893,115.5
256.81,2905,62.279,20.391,116.37
259.36,2907,62.298,20.288,116.44
0,3210,71.811,11.88,114.67
240.37,3212,71.878,12.121,114.48
0,3213,71.902,11.91,114.53
236,3214,71.989,12.101,114.33
0,3215,72.015,11.885,114.38
235.17,3216,72.073,12.102,114.19
238.83,3217,72.125,11.851,114.23
234.51,3218,72.15,11.954,114.14
0,3236,71.934,11.693,114.58
0,3237,72.032,11.682,114.44
0,3238,72.146,11.638,114.28
235.73,3239,72.229,11.827,114.06
248.99,3240,72.255,11.594,114.12
233.75,3241,72.297,11.681,114
0,3264,71.932,11.496,114.65
0,3265,72.034,11.484,114.51
0,3266,72.139,11.459,114.37
0,3267,72.263,11.375,114.2
230.73,3268,72.369,11.552,113.92
236.87,3269,72.366,11.342,114.02
231.35,3270,72.422,11.385,113.9
234.37,3288,72.392,11.091,114.07
230.27,3289,72.483,11.228,113.84
231.21,3290,72.453,11.103,113.95
230.52,3291,72.527,11.004,113.85
234.43,3318,72.502,10.831,113.95
232.44,3319,72.564,10.843,113.83
237.48,3344,72.509,10.568,114.01
233.63,3345,72.613,10.673,113.78
234.66,3346,72.571,10.578,113.89
234.21,3347,72.644,10.426,113.77
235.25,3372,72.582,10.351,113.92
233.74,3373,72.661,10.19,113.79
235.72,3400,72.585,10.11,113.95
233.35,3401,72.661,9.9402,113.82
237.35,3434,72.573,9.8624,113.99
234.89,3435,72.643,9.6831,113.88
239.04,3463,72.543,9.6078,114.05
236.31,3464,72.61,9.4283,113.94
238.77,3489,72.478,9.335,114.15
236.59,3490,72.59,9.1901,113.97
240.84,3512,72.368,9.0969,114.29
238.33,3513,72.492,9.0957,114.12
237.19,3514,72.575,8.9429,113.99
242.65,3533,72.32,8.8699,114.33
240.58,3534,72.453,8.8847,114.16
239.83,3535,72.552,8.7276,114
245,3554,72.302,8.6711,114.33
243.01,3555,72.425,8.635,114.17
242.5,3556,72.537,8.5828,114.01
245.17,3572,72.332,8.4648,114.27
244.17,3573,72.437,8.3313,114.11
243.55,3574,72.516,8.463,114.02
245.35,3593,72.323,8.2434,114.24
245.06,3594,72.411,8.0812,114.1
247.77,3616,72.374,7.8639,114.1
232.38,3767,58.972,21.898,115.59
232.8,3768,58.904,21.809,115.68
231.16,3769,58.764,21.86,115.63
234.61,3770,59.251,21.829,115.65
234.68,3771,59.097,21.747,115.73
234.73,3772,59.514,21.768,115.7
234.76,3773,59.791,21.532,115.9
234.79,3774,59.783,21.646,115.79
236.56,3775,60.14,21.547,115.85
237.79,3776,59.996,21.477,115.93
237.92,3777,60.514,21.452,115.89
240.81,3778,60.299,21.393,115.97
242.78,3779,60.842,21.332,115.95
243.92,3780,60.606,21.294,116.01
246.96,3781,61.094,21.214,116
246.99,3782,60.897,21.179,116.07
247.01,3783,61.366,21.138,116.01
247.01,3784,61.198,21.07,116.1
247.01,3785,61.699,21.052,116.01
247.01,3786,61.507,20.974,116.12
247.01,3787,61.986,20.936,116.04
247.01,3788,61.815,20.865,116.13
247.01,3789,62.091,20.837,116.09
225.34,3790,57.524,22.022,115.41
225.39,3791,57.397,21.956,115.46
224.82,3792,57.265,22.06,115.34
227.6,3793,57.761,22.019,115.43
229.95,3794,58.028,22,115.46
230.01,3795,58.321,21.955,115.52
230.08,3796,58.567,21.866,115.62
247.13,3797,62.132,20.718,116.17
254.61,3798,62.4,20.445,116.3
253.54,3799,62.411,20.566,116.21
257.37,3800,62.52,20.439,116.27
221.56,3801,56.761,22.01,115.33
222.74,3804,57.002,22.028,115.34
261.43,3805,62.595,20.318,116.33
261.74,3806,62.473,20.251,116.41
262.14,3807,62.649,20.212,116.39
262.38,3812,62.66,20.117,116.45
262.52,3814,62.921,20.007,116.44
0,4062,71.472,13.017,114.6
0,4064,71.577,13.02,114.46
0,4065,71.612,12.795,114.53
0,4066,71.66,13.047,114.33
0,4067,71.723,12.794,114.37
0,4068,71.752,12.904,114.27
0,4086,71.741,12.569,114.46
229.99,4087,71.847,12.783,114.18
229.95,4088,71.847,12.564,114.31
228.39,4089,71.907,12.629,114.18
236.52,4101,71.751,12.345,114.55
231.19,4102,71.865,12.338,114.4
227.88,4103,71.951,12.502,114.18
228.99,4104,71.972,12.32,114.24
227.07,4105,72.029,12.42,114.09
226.97,4116,72.088,12.246,114.09
228.95,4117,72.166,12.048,114.06
226.92,4118,72.178,12.168,113.97
226.86,4129,72.253,11.966,113.93
229.02,4130,72.328,11.76,113.9
226.81,4131,72.336,11.887,113.8
226.89,4147,72.43,11.663,113.72
228.84,4148,72.462,11.428,113.79
227.5,4149,72.498,11.458,113.69
227.62,4163,72.559,11.257,113.65
228.35,4164,72.561,11.087,113.73
227.7,4165,72.624,11.026,113.61
231.27,4197,72.606,10.881,113.72
229.06,4198,72.657,10.868,113.6
229.92,4225,72.678,10.708,113.61
230.68,4226,72.687,10.526,113.65
230.26,4227,72.751,10.539,113.48
232.03,4249,72.723,10.31,113.62
230.79,4250,72.803,10.206,113.46
232.84,4275,72.738,10.048,113.64
231.27,4276,72.81,9.8775,113.52
234.26,4295,72.732,9.774,113.7
232.66,4296,72.804,9.5924,113.57
235.8,4318,72.715,9.5101,113.75
234.05,4319,72.792,9.3269,113.62
235.85,4340,72.695,9.2618,113.8
234.95,4341,72.77,9.0795,113.67
235.98,4361,72.672,9.0182,113.83
235.72,4362,72.74,8.8517,113.71
238.39,4381,72.658,8.7547,113.84
238.07,4382,72.755,8.5911,113.66
240.72,4405,72.638,8.4909,113.84
240.35,4406,72.732,8.3173,113.67
243.95,4427,72.554,8.3134,113.95
242.55,4428,72.63,8.2008,113.81
242.41,4429,72.722,8.0723,113.64
244.95,4449,72.516,8.1116,113.96
244.4,4450,72.577,7.9157,113.83
243.22,4451,72.651,8.025,113.74
247.66,4468,72.471,7.8642,113.96
247.02,4469,72.524,7.6649,113.83
