"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
220.19,0,53.296,12.918,120.02
220.71,1,53.169,12.707,120.03
221.87,2,52.997,12.818,120.01
218.11,3,53.558,13.018,120.02
218.78,4,53.441,12.82,120.04
216.33,5,53.735,13.061,120.02
217.01,6,53.702,12.911,120.04
214.81,7,53.882,13.072,120.02
231.85,8,52.305,12.485,119.99
232.49,9,52.181,12.273,120
234.19,10,51.975,12.385,119.96
227.17,11,52.585,12.602,120
228.93,12,52.524,12.386,120.02
223.62,13,52.789,12.701,120.01
225.78,14,52.86,12.534,120.03
222.56,15,53.158,12.53,120.05
220.74,16,53.392,12.625,120.05
218.74,17,53.608,12.748,120.05
213.85,18,53.932,12.965,120.03
215.08,19,53.852,12.796,120.05
214.14,20,54.101,12.938,120.04
250.61,21,51.189,12.102,119.89
251.53,22,51.014,11.915,119.88
251.86,23,50.812,12.04,119.83
243.73,24,51.516,12.192,119.93
246.13,25,51.412,12,119.94
237.3,26,51.743,12.277,119.95
240.39,27,51.81,12.112,119.97
236.74,28,52.11,12.088,120.01
233.04,29,52.418,12.163,120.03
228.73,30,52.729,12.265,120.04
224.18,31,53.019,12.381,120.05
222,32,53.365,12.407,120.07
219.81,33,53.643,12.598,120.06
218.94,34,53.921,12.663,120.06
215.72,35,54.107,12.804,120.05
257.48,36,50.133,11.814,119.73
257.74,37,50.199,11.627,119.77
257.87,38,49.936,11.645,119.72
254.19,39,50.437,11.957,119.77
255.43,40,50.581,11.785,119.82
253.52,41,50.934,11.744,119.89
247.33,42,51.266,11.804,119.93
240.97,43,51.611,11.875,119.97
236.68,44,51.937,11.907,120.01
232.15,45,52.251,11.961,120.03
227.94,46,52.593,11.989,120.05
223.44,47,53.007,12.199,120.06
222.59,48,53.364,12.185,120.08
221.37,49,53.58,12.34,120.07
219.61,50,53.82,12.485,120.07
260.25,51,49.718,11.582,119.68
261.11,52,49.787,11.44,119.72
261.23,53,49.464,11.533,119.63
259.73,54,50.145,11.453,119.79
256.6,55,50.456,11.545,119.83
253.38,56,50.769,11.585,119.88
247.06,57,51.112,11.612,119.93
240.79,58,51.451,11.655,119.97
235.57,59,51.763,11.714,120
229.76,60,52.126,11.726,120.03
227.72,61,52.574,11.736,120.06
226.46,62,52.798,11.887,120.07
223.11,63,53.018,12.022,120.07
262.82,64,49.235,11.39,119.6
265.07,65,49.369,11.259,119.65
265.39,66,48.978,11.262,119.55
264.08,67,49.704,11.251,119.72
262.76,68,50.004,11.294,119.78
259.38,69,50.33,11.335,119.83
255.97,70,50.634,11.388,119.88
247.66,71,50.961,11.419,119.92
238.97,72,51.273,11.463,119.96
232.71,73,51.63,11.47,120
231.13,74,52.03,11.449,120.04
228.82,75,52.277,11.609,120.05
0,76,48.59,10.978,119.49
0,77,48.612,10.812,119.52
0,78,48.312,10.805,119.44
266.1,79,48.776,11.112,119.52
0,80,48.973,11.025,119.58
0,81,49.289,11.042,119.66
0,82,49.563,11.091,119.71
0,83,49.867,11.121,119.77
0,84,50.186,11.149,119.83
0,85,50.496,11.177,119.87
247.11,86,50.801,11.245,119.91
235.65,87,51.139,11.224,119.96
233.26,88,51.482,11.172,120
231.76,89,51.74,11.332,120.02
0,90,48.561,10.615,119.53
0,91,48.295,10.61,119.46
0,92,48.856,10.775,119.59
0,93,49.141,10.869,119.64
0,94,49.45,10.903,119.71
0,95,49.731,10.936,119.76
0,96,50.019,10.994,119.81
0,97,50.319,10.96,119.86
0,98,50.717,11.043,119.91
0,99,50.896,10.881,119.93
233.73,100,51.186,11.055,119.97
0,101,48.561,10.468,119.54
0,102,48.287,10.398,119.47
0,103,48.797,10.567,119.59
0,104,49.055,10.671,119.64
0,105,49.313,10.752,119.69
0,106,49.605,10.725,119.75
0,107,49.932,10.817,119.8
0,108,50.113,10.742,119.83
0,109,50.31,10.777,119.86
0,110,50.544,10.81,119.89
0,115,49.271,10.585,119.69
0,117,49.638,10.557,119.76
0,118,49.874,10.584,119.8
216.29,121,53.252,13.222,119.96
216.49,122,53.194,13.027,119.99
217.83,123,52.963,13.018,119.97
213.69,124,53.581,13.345,119.96
214.22,125,53.468,13.143,119.99
210.81,126,53.893,13.452,119.95
212.07,127,53.814,13.23,119.99
206.08,128,54.22,13.562,119.95
207.34,129,54.137,13.336,119.98
202.15,130,54.566,13.629,119.94
202.93,131,54.437,13.425,119.97
201.59,132,54.865,13.707,119.93
203.83,133,54.728,13.509,119.96
203.68,134,55.13,13.764,119.92
