"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
224.75,905,54.453,21.338,116.54
224.36,906,54.468,21.227,116.63
221.47,907,54.273,21.219,116.59
229.31,908,54.777,21.358,116.57
227.91,909,54.645,21.264,116.63
234.08,910,55.029,21.339,116.62
232.78,911,54.861,21.218,116.69
231.23,912,55.189,21.299,116.68
230.18,913,55.075,21.229,116.72
219.6,915,54.369,21.135,116.67
219.91,917,54.594,21.146,116.71
222.67,918,54.747,21.097,116.77
224.53,1182,54.648,21.731,116.24
225.13,1183,54.508,21.568,116.36
222.37,1184,54.332,21.636,116.27
223.74,1185,55.055,21.735,116.3
226.82,1186,54.861,21.599,116.39
222.8,1187,55.457,21.666,116.4
229.8,1188,55.228,21.559,116.47
225.72,1189,55.818,21.603,116.49
232.32,1190,55.585,21.487,116.56
232.72,1191,56.178,21.542,116.57
234.3,1192,55.937,21.425,116.64
233.74,1193,56.544,21.485,116.63
234.42,1194,56.294,21.369,116.71
234.73,1195,56.882,21.409,116.7
234.53,1196,56.641,21.308,116.77
234.73,1197,57.233,21.322,116.77
234.52,1198,56.975,21.237,116.83
234.78,1199,57.535,21.233,116.83
207.98,1208,53.789,21.583,116.21
208.52,1209,53.824,21.396,116.37
208.35,1210,53.621,21.448,116.28
214.47,1211,54.063,21.658,116.2
216,1212,54.109,21.5,116.34
225.17,1213,54.343,21.434,116.44
229.89,1214,54.669,21.467,116.47
234.64,1215,55.007,21.46,116.52
232.38,1216,55.357,21.372,116.63
230.63,1217,55.702,21.296,116.72
230.91,1218,56.06,21.244,116.79
231.11,1219,56.419,21.193,116.85
212.93,1231,53.761,21.245,116.47
218.4,1232,54.08,21.29,116.5
234.6,1667,57.375,21.697,116.46
234.65,1668,57.233,21.575,116.57
234.69,1669,57.074,21.738,116.43
234.89,1670,57.453,21.606,116.54
240.97,1671,58.184,21.424,116.64
241.01,1672,57.985,21.322,116.74
238,1673,57.869,21.49,116.61
244.11,1674,58.236,21.307,116.73
210.23,1675,55.247,21.993,116.09
212.34,1676,55.188,21.861,116.21
212.08,1677,55.018,21.89,116.16
207.57,1678,55.58,21.961,116.16
213.46,1679,55.398,21.826,116.26
214.17,1680,55.937,21.877,116.27
222.77,1681,55.711,21.776,116.33
225.98,1682,56.269,21.821,116.34
231.94,1683,56.057,21.71,116.42
230.44,1684,56.581,21.77,116.39
233.34,1685,56.419,21.65,116.49
234.72,1686,56.823,21.743,116.42
234.71,1687,56.829,21.595,116.55
234.73,1688,57.148,21.463,116.66
235.1,1689,57.565,21.523,116.6
234.77,1690,57.549,21.397,116.7
243.75,1691,57.803,21.252,116.8
248.2,1692,58.389,21.17,116.82
253.34,1693,58.121,21.145,116.86
256.08,1694,58.715,21.041,116.87
257.69,1695,58.462,20.976,116.95
263.23,1696,59.03,20.92,116.92
261.92,1697,58.797,20.834,117.01
263.47,1698,59.342,20.803,116.95
262.93,1699,59.111,20.713,117.05
263.72,1700,59.651,20.687,116.98
263.71,1701,59.433,20.599,117.07
263.72,1702,59.948,20.588,116.98
209.68,1705,54.41,21.882,116.07
211.98,1706,54.342,21.745,116.18
202.38,1707,54.14,21.782,116.11
214.03,1708,54.738,21.888,116.12
207.28,1716,53.52,21.704,116.04
208.99,1717,53.481,21.543,116.17
200.4,1719,53.832,21.759,116.07
248.34,2007,70.178,11.916,114.96
258.27,2008,70.191,11.694,115.01
247.09,2009,70.281,11.907,114.82
265.34,2010,70.297,11.679,114.87
244.74,2011,70.352,11.878,114.72
254.93,2012,70.389,11.675,114.73
244.74,2013,70.412,11.824,114.64
