"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
0,437,90.554,5.2757,118.94
0,438,90.668,5.1493,118.91
0,439,90.496,5.1612,118.91
0,440,90.773,5.2959,118.95
0,441,90.818,5.1675,118.91
0,442,90.922,5.291,118.94
0,443,91.031,5.1669,118.91
291.18,444,91.056,5.2704,118.93
0,445,90.623,5.0732,118.88
0,446,90.674,4.9865,118.85
0,447,90.827,5.04,118.87
0,448,91.022,5.0473,118.87
290.95,449,91.267,5.17,118.9
0,450,91.249,5.0357,118.86
289.58,451,91.486,5.1504,118.88
289.18,452,91.469,5.0162,118.84
288.33,453,91.637,5.1321,118.86
288.21,454,91.697,5.0099,118.83
287.46,455,91.775,5.0953,118.84
0,456,90.822,4.9337,118.83
0,457,90.891,4.8442,118.79
0,458,91.015,4.9221,118.83
0,459,91.202,4.9353,118.83
0,460,91.445,4.8699,118.8
287.45,461,91.671,4.8832,118.79
286.84,462,91.979,4.9792,118.79
286.58,463,91.869,4.8952,118.78
286.74,464,92.262,4.9005,118.74
286.72,465,92.088,4.8298,118.74
286.63,466,92.291,4.7964,118.71
0,467,91.046,4.8033,118.78
0,468,91.141,4.7096,118.73
0,469,91.229,4.816,118.78
0,470,91.403,4.7411,118.74
0,471,91.552,4.7219,118.73
0,472,91.675,4.6269,118.68
0,473,91.726,4.7422,118.73
282.9,474,91.91,4.7695,118.73
283.38,475,92.121,4.6933,118.68
285.35,476,92.284,4.7133,118.68
0,477,91.302,4.6777,118.71
0,478,91.817,4.616,118.67
282.32,479,92.005,4.6091,118.65
0,690,89.727,5.627,119.01
0,691,89.82,5.4505,118.98
0,692,89.652,5.5237,118.99
0,693,89.95,5.6667,119.02
0,694,89.97,5.5118,118.99
296.5,695,90.17,5.6923,119.02
0,696,90.171,5.5416,119
294.03,697,90.39,5.7087,119.02
292.71,698,90.388,5.5542,119
293.68,699,90.585,5.736,119.01
293.49,700,90.621,5.5648,119
293.63,701,90.718,5.6372,119
0,702,89.834,5.3072,118.93
0,703,89.627,5.4103,118.95
0,704,90.032,5.3414,118.95
0,705,90.173,5.3989,118.97
0,706,90.369,5.3975,118.97
0,707,90.596,5.4217,118.97
293.44,708,90.882,5.5578,118.98
292.5,709,90.863,5.4198,118.97
290.99,710,91.037,5.5595,118.97
290.91,711,91.125,5.4337,118.95
289.88,712,91.178,5.5342,118.96
0,713,89.866,5.185,118.89
0,714,89.627,5.2459,118.9
0,715,90.068,5.1929,118.9
0,716,90.294,5.2293,118.92
290.75,717,91.136,5.3221,118.94
289.29,718,91.399,5.4234,118.93
289.91,719,91.351,5.2948,118.92
288.5,720,91.656,5.3954,118.9
288.52,721,91.613,5.2581,118.89
286.65,722,91.894,5.3772,118.87
286.52,723,91.865,5.2419,118.86
286.64,724,91.997,5.2712,118.85
0,725,89.77,5.1156,118.86
0,726,89.812,5.0132,118.81
0,727,90.017,5.0556,118.85
0,728,90.248,5.0518,118.85
0,729,90.464,5.0368,118.86
286.9,730,91.882,5.1274,118.84
286.83,731,92.087,5.1789,118.82
286.6,732,92.134,5.051,118.79
286.42,733,92.262,5.1046,118.79
0,734,89.967,4.9504,118.79
0,735,89.996,4.8697,118.75
0,736,90.198,4.8959,118.78
0,737,90.443,4.8976,118.8
0,738,90.68,4.8723,118.8
286.34,739,92.479,4.944,118.72
286.17,740,92.516,4.7351,118.66
285.85,741,92.731,4.9567,118.69
