"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
283.2,99,94.612,16.788,120.69
267.57,100,94.909,16.693,120.64
251.82,102,95.2,16.604,120.59
0,120,93.951,16.803,120.81
314.12,121,94.24,16.721,120.77
313.02,122,94.53,16.632,120.73
283.27,123,94.822,16.541,120.69
251.83,124,95.112,16.449,120.64
251.97,125,95.393,16.357,120.6
0,138,93.458,16.747,120.87
297.28,139,93.691,16.661,120.85
314.51,140,93.914,16.633,120.83
314.71,141,94.179,16.559,120.8
314.04,142,94.457,16.473,120.76
298.82,143,94.745,16.385,120.73
283.28,144,95.036,16.292,120.68
271.67,145,95.326,16.198,120.64
261.66,146,95.611,16.107,120.59
271.37,154,93.28,16.647,120.88
293.77,155,93.582,16.55,120.86
314.68,156,93.849,16.483,120.84
314.68,157,94.114,16.403,120.81
314.57,158,94.38,16.312,120.79
314.02,159,94.668,16.231,120.75
314.35,160,94.963,16.138,120.71
290.99,161,95.258,16.041,120.67
269.84,162,95.555,15.945,120.63
276.63,176,93.084,16.566,120.88
296.9,177,93.318,16.446,120.87
305.16,178,93.527,16.411,120.86
314.68,179,93.777,16.348,120.84
310.58,180,94.013,16.3,120.82
304.43,181,94.276,16.149,120.8
301.81,182,94.585,16.084,120.77
301.42,183,94.884,15.991,120.74
288.77,184,95.185,15.889,120.7
277.8,185,95.485,15.79,120.66
280.61,186,95.776,15.692,120.62
276.2,188,96.057,15.57,120.58
309.68,198,92.952,16.465,120.87
313.82,199,93.092,16.284,120.84
314.03,200,93.234,16.33,120.85
313.15,201,93.493,16.246,120.84
313.01,202,93.734,16.198,120.83
302.25,203,93.999,16.149,120.82
295.11,204,94.188,15.954,120.79
292.93,205,94.363,15.96,120.79
299.75,206,94.549,15.926,120.77
298.17,207,94.807,15.849,120.75
288.45,208,95.096,15.748,120.72
288.24,209,95.305,15.556,120.69
287.92,210,95.426,15.636,120.68
293.62,211,95.722,15.529,120.64
301.31,212,96,15.425,120.6
278.81,214,96.274,15.316,120.56
313.98,216,93.23,16.159,120.82
311.62,217,93.442,16.095,120.82
309.43,218,93.688,16.034,120.81
301.11,219,93.928,16.003,120.81
288.26,220,95.478,15.455,120.67
288.29,221,95.564,15.325,120.66
288.5,222,95.709,15.352,120.64
291.8,223,95.976,15.257,120.61
275.79,224,96.247,15.162,120.57
255.4,226,96.463,15.101,120.54
288.29,228,95.663,15.175,120.64
289.34,229,95.941,15.093,120.61
271.67,230,96.249,14.995,120.57
253.84,231,96.586,14.9,120.53
304.18,376,92.82,16.356,120.84
311.83,377,92.968,16.313,120.84
291.29,378,94.463,15.79,120.77
292.87,379,94.725,15.706,120.75
289.56,380,94.969,15.623,120.73
288.24,381,95.178,15.534,120.71
280.71,388,92.535,16.296,120.8
300.25,389,92.794,16.199,120.8
305.44,390,93.034,16.147,120.81
307.34,391,93.304,15.988,120.79
304.43,392,93.635,15.871,120.78
304.74,393,93.494,15.803,120.76
303.68,394,93.898,15.827,120.78
300.34,395,94.092,15.823,120.78
298.37,396,94.462,15.652,120.76
299.65,397,94.289,15.73,120.77
294.72,398,94.646,15.581,120.74
292.77,399,94.777,15.403,120.72
291.18,400,94.914,15.468,120.72
289.6,401,95.173,15.385,120.7
288.33,402,95.393,15.344,120.68
303.82,408,93.706,15.661,120.74
302.15,409,93.921,15.648,120.75
300.45,410,94.177,15.608,120.75
291.62,411,94.941,15.259,120.69
290.08,412,95.141,15.256,120.68
288.32,413,95.439,15.138,120.66
288.31,414,95.634,14.931,120.62
288.32,415,95.837,14.961,120.61
287.16,416,96.182,14.849,120.58
270.81,417,96.514,14.753,120.54
253.7,418,96.838,14.665,120.49
254.24,419,97.124,14.553,120.45
288.32,423,95.828,14.793,120.6
285.74,424,96.096,14.717,120.57
281.44,425,96.319,14.526,120.54
279.6,426,96.457,14.601,120.53
273.68,427,96.786,14.508,120.49
262.5,428,97.1,14.404,120.45
280.2,432,96.527,14.401,120.51
276.14,433,96.769,14.345,120.48
264.12,434,97.074,14.251,120.45
251.74,435,97.401,14.149,120.4
251.74,436,97.743,14.049,120.35
291.12,633,92.222,16.277,120.76
291.96,634,92.463,16.173,120.75
293.37,635,92.731,16.063,120.75
301.44,636,93.026,15.966,120.76
306.59,637,93.301,15.85,120.76
303.96,638,93.237,15.793,120.73
300.08,639,94.445,15.516,120.73
297.18,640,94.628,15.448,120.72
306.49,644,93.477,15.653,120.72
304.58,645,93.738,15.507,120.7
303.18,646,93.95,15.464,120.7
303.52,647,94.171,15.428,120.71
303.93,648,94.427,15.355,120.7
300.27,649,94.681,15.289,120.69
298.13,650,94.907,15.119,120.66
294.18,651,95.184,15.073,120.65
289.15,652,95.444,14.967,120.63
292.95,653,95.388,14.874,120.62
290.08,657,95.62,14.759,120.6
289.28,658,95.899,14.623,120.57
284.77,659,96.15,14.538,120.55
287.82,660,96.118,14.436,120.53
284.07,666,96.366,14.341,120.51
281.45,667,96.68,14.214,120.47
280.63,668,97.025,14.103,120.44
281.3,669,96.887,14.035,120.44
266.58,670,97.351,14.006,120.4
252.48,671,97.688,13.896,120.35
251.8,672,98.017,13.79,120.3
251.74,673,98.315,13.659,120.25
251.74,676,99.145,13.288,120.11
280.78,677,97.081,13.916,120.41
267.22,678,97.313,13.858,120.38
255.24,679,97.611,13.765,120.34
254.84,680,97.841,13.596,120.3
253.56,681,97.976,13.629,120.29
251.76,682,98.293,13.51,120.24
251.74,683,98.599,13.413,120.19
251.74,684,98.837,13.379,120.16
251.74,685,99.083,13.187,120.11
254.45,686,98.016,13.423,120.26
251.75,687,98.28,13.349,120.22
251.74,688,98.598,13.241,120.18
251.74,689,98.942,13.135,120.12
291.49,971,91.877,16.344,120.72
303.81,972,92.118,16.197,120.71
303.8,973,92.354,16.071,120.7
303.99,974,92.618,15.955,120.7
307.89,975,92.896,15.84,120.7
308.58,976,93.165,15.717,120.7
310.16,981,93.425,15.545,120.68
309.24,982,93.661,15.426,120.67
308.33,983,93.926,15.315,120.66
305.47,984,94.173,15.246,120.66
302.63,985,94.391,15.214,120.66
300.78,986,94.68,15.093,120.65
300.07,987,95.054,14.925,120.62
300.73,988,94.921,14.862,120.6
294.69,989,95.242,14.898,120.62
300.53,993,95.181,14.696,120.57
