"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
319.15,8,86.42,11.719,122.17
317.59,12,86.37,11.58,122.15
314.81,17,86.117,11.418,122.1
317.38,18,86.345,11.457,122.13
316.43,19,86.244,11.374,122.11
316.98,20,86.385,11.272,122.11
315.38,26,86.033,11.271,122.07
321.62,27,86.172,11.179,122.08
321.85,28,86.323,11.048,122.07
316.52,33,85.981,11.097,122.04
0,34,86.06,10.923,122.02
323.42,35,86.19,11.014,122.05
322.44,41,85.728,10.937,121.98
0,42,85.883,10.9,121.99
0,43,85.957,10.715,121.97
0,48,85.629,10.809,121.94
0,49,85.757,10.697,121.94
0,50,85.872,10.519,121.91
312.94,55,85.568,10.641,121.9
315.46,56,85.617,10.45,121.87
322.07,57,85.748,10.518,121.9
301.12,62,85.46,10.475,121.84
301.03,63,85.484,10.267,121.8
300.83,67,85.338,10.337,121.79
314.73,69,87.159,13.118,122.31
318.25,71,87.352,13.256,122.33
314.96,75,87.088,12.934,122.3
319.77,76,87.357,13.107,122.34
318.46,77,87.251,12.969,122.32
319.81,78,87.44,12.964,122.34
320.1,84,87.204,12.771,122.31
321.54,85,87.387,12.786,122.33
321.8,90,87.019,12.597,122.29
322,91,87.375,12.614,122.32
322.14,92,87.191,12.562,122.3
322.79,93,87.275,12.403,122.3
321.85,98,86.874,12.413,122.26
322.22,99,87.076,12.394,122.28
323.59,100,87.18,12.214,122.27
321.83,105,86.739,12.226,122.23
322.27,106,86.961,12.215,122.26
324.18,107,87.072,12.029,122.25
321.02,113,86.646,12.018,122.21
322,114,86.854,12.026,122.23
323.43,115,86.961,11.84,122.22
320.15,121,86.581,11.773,122.19
321.72,122,86.76,11.818,122.2
321.85,123,86.855,11.637,122.19
318.39,128,86.498,11.524,122.15
320.75,129,86.671,11.585,122.17
321.69,130,86.76,11.415,122.15
319.93,136,86.576,11.34,122.13
321.47,137,86.687,11.192,122.11
319.71,141,86.491,11.087,122.08
319.11,142,86.641,11.008,122.07
0,148,86.22,10.885,122.03
317.17,149,86.526,10.893,122.04
316.36,150,86.359,10.799,122.01
319.96,154,86.142,10.723,121.98
314.84,155,86.247,10.574,121.95
315.18,159,86.035,10.516,121.93
312.15,160,86.155,10.406,121.9
314.8,166,85.752,10.377,121.87
308.05,167,86.035,10.326,121.87
305.25,168,85.873,10.277,121.85
299.64,173,85.651,10.219,121.81
299.29,174,85.778,10.088,121.78
300.49,184,85.318,10.151,121.74
299.16,185,85.643,10.032,121.75
299.89,186,85.474,10.035,121.73
298.65,195,85.232,10.008,121.68
299.18,196,85.337,10.012,121.7
293.69,205,85.155,9.9122,121.63
331.69,215,88.243,14.575,122.38
327.25,216,88.041,14.375,122.38
325.8,217,88.049,14.533,122.36
328.6,218,88.36,14.51,122.41
325.07,219,88.226,14.346,122.41
323.06,220,88.438,14.448,122.43
315.3,221,87.844,14.228,122.36
314.9,222,87.852,14.445,122.33
316.31,223,88.045,14.178,122.39
321.06,224,88.389,14.303,122.43
318.57,225,88.253,14.137,122.42
321.61,226,88.478,14.209,122.45
314.75,230,87.694,14.062,122.35
315.25,231,87.863,14.016,122.38
316.23,232,88.047,13.973,122.41
323.41,233,88.445,14.028,122.45
322.78,234,88.225,13.95,122.43
324.61,235,88.316,13.835,122.44
314.71,238,87.511,13.961,122.32
314.71,239,87.674,13.856,122.36
314.9,240,87.861,13.801,122.39
322.75,241,88.07,13.764,122.42
329.04,242,88.243,13.718,122.43
314.71,246,87.477,13.721,122.33
314.76,247,87.655,13.63,122.37
322.77,248,87.866,13.592,122.39
330.61,249,88.191,13.612,122.43
330.45,250,88.044,13.557,122.41
330.99,251,88.208,13.441,122.42
314.74,256,87.427,13.463,122.33
322.68,257,87.692,13.414,122.37
330.06,258,87.941,13.39,122.4
330.68,259,88.055,13.206,122.4
320.69,264,87.55,13.217,122.36
327.34,265,87.796,13.21,122.38
328.83,266,87.886,13.011,122.38
324.1,270,87.659,13.014,122.36
327.16,271,87.757,12.831,122.36
322.29,274,87.55,12.794,122.35
326.8,275,87.663,12.697,122.35
326.96,278,87.568,12.568,122.33
326.27,279,87.449,12.431,122.31
326.94,280,87.622,12.349,122.31
326.28,285,87.4,12.239,122.29
327.86,286,87.537,12.079,122.27
326.24,294,87.299,12.036,122.26
328.13,295,87.385,11.832,122.22
324.05,307,87.174,11.845,122.23
325.1,308,87.255,11.647,122.19
321.85,318,87.054,11.661,122.2
321.92,319,87.13,11.485,122.17
321.85,327,86.94,11.475,122.16
321.85,328,87.027,11.353,122.14
321.79,334,86.86,11.256,122.12
321.78,335,87.014,11.229,122.12
321.25,340,86.934,11.104,122.09
320.08,341,86.807,11.012,122.07
317.02,345,86.509,10.73,122
318.18,346,86.679,10.828,122.02
317.06,350,86.593,10.625,121.97
314.23,351,86.434,10.527,121.94
310.16,357,86.291,10.363,121.89
305.78,361,85.993,10.181,121.83
306.37,362,86.149,10.216,121.84
305.58,366,86.051,10.088,121.8
303.28,367,85.922,9.9932,121.76
300.17,372,85.573,9.9046,121.7
301.05,373,85.747,9.8838,121.71
298.65,379,85.299,9.8608,121.64
299.35,380,85.615,9.7865,121.66
298.62,381,85.439,9.7767,121.64
292,387,85.114,9.755,121.57
291.98,388,85.263,9.6778,121.57
292.01,389,85.387,9.5689,121.55
285.52,397,84.952,9.606,121.47
285.35,398,85.108,9.6038,121.51
285.38,399,85.175,9.4834,121.48
290.14,400,85.28,9.5397,121.53
284.01,409,84.927,9.4525,121.4
284.45,411,85.034,9.4693,121.44
336.71,422,88.95,15.433,122.35
337.58,423,88.83,15.221,122.38
344.38,424,88.779,15.363,122.34
327.64,425,89.046,15.364,122.38
0,426,88.68,15.423,122.31
0,427,88.581,15.2,122.34
341.07,429,88.682,15.057,122.38
317.24,430,89.008,15.211,122.4
322.54,431,88.879,15.017,122.41
319.82,432,89.114,15.141,122.42
334.35,435,88.478,14.978,122.36
329.85,436,88.633,14.863,122.4
320.6,437,89.11,14.972,122.44
323.76,438,88.84,14.795,122.43
