"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
261.59,0,51.123,11.51,121.69
261.83,1,51.045,11.327,121.69
261.52,2,50.988,11.433,121.69
261.4,3,51.198,11.338,121.69
261.58,4,50.883,11.432,121.69
261.92,5,50.876,11.197,121.69
261.66,6,50.787,11.303,121.69
261.19,7,51.033,11.176,121.69
261.37,8,51.112,11.055,121.68
261.02,9,50.741,10.979,121.69
261.53,10,50.677,11.149,121.69
258.62,11,50.928,11,121.69
257.07,12,51.015,10.829,121.67
261.62,13,50.531,11.079,121.69
261.49,14,50.506,10.884,121.68
261.63,15,50.389,11.068,121.68
259.83,16,50.667,10.794,121.68
256.3,17,50.832,10.803,121.68
254.1,18,50.918,10.639,121.66
260.14,19,50.372,10.623,121.67
261.5,20,50.265,10.816,121.67
258.85,21,50.546,10.673,121.67
252.86,22,50.71,10.6,121.67
251.34,23,50.846,10.518,121.66
261.74,32,50.075,10.678,121.66
261.5,33,50.167,10.502,121.66
260.87,34,49.987,10.519,121.65
259.61,35,50.331,10.36,121.65
258.71,36,50.513,10.475,121.66
256.1,37,50.653,10.391,121.65
251.8,38,50.785,10.415,121.65
238.97,54,49.258,9.9553,121.57
241.8,55,49.311,10.211,121.59
251,56,49.697,10.426,121.63
248.44,57,49.705,10.152,121.61
246.38,58,49.56,10.206,121.61
257.27,59,49.859,10.473,121.64
253.65,60,49.929,10.287,121.63
259.14,61,50.134,10.257,121.64
258.33,62,50.25,10.094,121.62
258.45,63,50.387,10.185,121.63
257.62,64,50.538,10.243,121.64
238.48,74,49.263,9.7247,121.55
241.5,75,49.418,10.123,121.59
238.85,76,49.491,9.9089,121.58
238.11,77,49.695,9.9309,121.59
247.4,78,49.849,10.056,121.61
257.66,79,50.024,10.029,121.61
256.73,80,50.177,9.9449,121.6
238.89,99,49.453,9.6241,121.54
238.5,100,49.654,9.7166,121.56
244.07,101,49.842,9.8373,121.58
245.68,102,49.983,9.764,121.58
255.15,103,50.12,9.8137,121.58
239.25,110,49.449,9.3773,121.5
239.03,111,49.633,9.4768,121.52
243.52,112,49.846,9.5836,121.55
232.09,135,51.953,13.045,121.56
233.35,136,51.767,12.844,121.59
231.64,137,51.79,13.021,121.56
235.81,138,52.073,12.924,121.57
238.83,139,51.888,12.778,121.59
241.51,140,52.183,12.824,121.57
242.95,141,51.993,12.67,121.6
245.36,142,52.116,12.673,121.59
229.51,143,51.714,13.104,121.55
230.51,144,51.618,12.897,121.58
229.57,145,51.616,13.068,121.56
239.49,146,51.605,12.708,121.61
246.36,147,51.701,12.615,121.61
246.79,148,51.806,12.525,121.62
246.92,149,52.087,12.522,121.61
247.01,150,51.906,12.427,121.63
247.01,151,52.176,12.411,121.61
247.01,152,52,12.332,121.63
247.01,153,52.102,12.306,121.62
232.45,154,51.501,13.018,121.56
237.89,155,51.396,12.876,121.58
242.61,156,51.445,12.699,121.6
246.86,157,51.513,12.498,121.63
247.01,158,51.616,12.375,121.64
247.01,159,51.726,12.278,121.64
247.01,160,51.838,12.194,121.64
247.01,161,52.053,12.21,121.63
247.01,162,51.947,12.144,121.64
247.01,163,52.066,12.076,121.64
245.16,164,51.268,12.546,121.62
244.56,165,51.292,12.758,121.59
247.21,166,51.338,12.398,121.64
247.12,167,51.428,12.24,121.65
247.02,168,51.544,12.121,121.66
247.11,169,51.677,12.033,121.66
247.32,170,51.844,11.973,121.65
247.14,171,52.02,11.926,121.64
245.32,172,51.134,12.615,121.61
250.21,173,51.05,12.425,121.63
250.92,174,51.14,12.305,121.64
253.2,175,51.235,12.128,121.66
254.08,176,51.355,11.971,121.67
254.06,177,51.486,11.862,121.67
252.79,178,51.648,11.813,121.67
248.35,179,51.896,11.813,121.66
249.07,180,51.775,11.761,121.66
248.77,181,51.862,11.619,121.66
251.15,182,50.944,12.262,121.64
254.41,183,50.84,12.036,121.66
256.25,184,51.019,11.991,121.66
259.88,185,51.175,11.872,121.67
261.28,186,51.281,11.665,121.68
258.95,187,51.486,11.626,121.68
251.35,188,51.667,11.598,121.67
250.12,189,51.737,11.417,121.66
256.64,190,50.861,11.71,121.68
256.26,191,50.815,11.842,121.67
260.83,192,51.017,11.669,121.68
259.69,193,51.365,11.406,121.68
251.7,194,51.544,11.409,121.67
249.77,195,51.594,11.212,121.67
259.06,196,50.729,11.454,121.69
258.83,197,50.66,11.615,121.68
261,198,51.272,11.133,121.68
251.83,199,51.431,11.184,121.67
249.6,200,51.495,10.986,121.66
261.42,201,50.563,11.248,121.69
260.97,202,50.456,11.356,121.68
256.23,203,51.182,10.862,121.67
248.96,204,51.34,10.924,121.66
247.53,205,51.424,10.741,121.65
261.46,206,50.248,11.323,121.68
261.69,207,50.194,11.08,121.67
261.42,208,50.058,11.234,121.67
251.15,209,51.088,10.613,121.65
246.16,210,51.259,10.653,121.65
245.64,211,51.379,10.497,121.62
260.4,226,49.88,11.106,121.66
260.34,227,49.899,10.934,121.66
259.85,228,49.697,11.018,121.65
261.89,229,50.06,10.851,121.67
246.22,230,50.96,10.403,121.64
243.29,231,51.167,10.371,121.62
243.1,232,51.372,10.311,121.6
248.54,248,49.355,10.554,121.61
258.36,249,49.506,10.907,121.63
257.43,250,49.618,10.704,121.64
260.13,251,49.856,10.676,121.65
248.99,252,50.764,10.23,121.63
242.77,253,50.966,10.177,121.61
242.11,254,51.139,10.083,121.58
242.83,255,51.278,10.19,121.59
244.36,265,49.462,10.401,121.61
257.65,266,50.432,10.026,121.61
253.89,267,50.62,10.04,121.61
247.23,268,50.791,10.031,121.6
244.34,269,50.9,9.8978,121.57
243.24,270,51.014,10.01,121.58
254.38,281,50.307,9.8211,121.58
250.33,282,50.505,9.8578,121.58
246.1,283,50.686,9.8148,121.57
245.46,284,50.85,9.7501,121.55
248.65,300,50.109,9.5893,121.55
247.29,301,50.299,9.6308,121.55
246.1,302,50.483,9.6402,121.55
244.87,303,50.671,9.6012,121.53
244.81,304,50.807,9.6297,121.53
239.93,320,49.586,9.2154,121.48
239.85,321,49.78,9.3247,121.5
240.99,322,49.964,9.4105,121.52
242.21,323,50.137,9.3285,121.5
242.96,324,50.301,9.4589,121.52
243.24,325,50.467,9.4038,121.5
245.18,326,50.613,9.4553,121.5
236.47,346,49.551,8.9716,121.42
236.14,347,49.757,9.0695,121.45
238.33,348,49.938,9.1914,121.47
239.2,349,50.084,9.1046,121.45
240.61,350,50.21,9.1585,121.46
242.37,351,50.357,9.2313,121.47
235.42,359,49.729,8.8213,121.39
237.62,360,49.953,8.9401,121.41
223.24,458,52.116,13.569,121.47
224.97,459,51.956,13.409,121.5
221.83,460,51.953,13.562,121.47
223.86,461,52.238,13.416,121.49
226.84,462,52.052,13.298,121.52
225.95,463,52.352,13.275,121.51
228.79,464,52.159,13.163,121.53
235.36,465,52.447,13.155,121.51
237.1,466,52.277,13.023,121.54
240.98,467,52.436,13.002,121.53
221.3,473,51.861,13.625,121.46
223.7,474,51.792,13.419,121.5
221.56,475,51.751,13.567,121.47
227.24,476,51.853,13.228,121.53
245.66,477,52.367,12.806,121.56
246.92,478,52.221,12.68,121.59
246.84,479,52.437,12.648,121.57
247.01,480,52.281,12.565,121.59
246.99,481,52.389,12.511,121.58
226.42,483,51.648,13.256,121.53
225.38,484,51.611,13.484,121.48
246.99,485,52.321,12.355,121.6
247.01,486,52.175,12.25,121.62
247.01,487,52.239,12.162,121.62
228.15,488,51.47,13.257,121.52
229.51,489,51.291,13.247,121.51
235.74,490,51.339,13.03,121.55
247.01,491,52.215,11.998,121.62
239.45,492,51.194,12.847,121.58
238.37,493,51.191,13.027,121.55
247.01,494,52.109,11.839,121.64
247.13,495,51.991,11.759,121.65
247.01,496,52.083,11.659,121.64
239.24,503,51.037,12.839,121.57
242.64,504,50.911,12.645,121.59
243.67,505,50.973,12.536,121.61
247.06,506,51.962,11.499,121.65
243.3,511,50.785,12.447,121.61
247.02,512,50.643,12.205,121.64
248.31,513,50.788,12.215,121.64
247.01,514,51.869,11.359,121.66
247.16,515,51.804,11.284,121.66
246.99,516,51.89,11.185,121.65
248.85,518,50.693,12.041,121.66
253.35,519,50.669,11.842,121.67
247.23,520,51.731,11.186,121.66
246.85,521,51.796,11.033,121.65
259.3,522,50.514,11.655,121.67
247.26,523,51.644,11.019,121.65
246.68,524,51.721,10.878,121.64
261.08,525,50.359,11.664,121.67
261.61,526,50.361,11.496,121.68
261.54,527,50.207,11.534,121.67
246.46,528,51.572,10.818,121.64
246.16,529,51.673,10.71,121.63
260.52,536,50.028,11.457,121.66
246.28,537,51.535,10.59,121.62
246.25,538,51.681,10.57,121.61
259.19,563,49.684,11.275,121.64
260.12,564,49.863,11.26,121.66
244.77,565,51.63,10.472,121.6
241.48,566,51.56,10.333,121.58
240.58,578,51.282,10.024,121.56
239.66,579,51.457,10.123,121.56
243.7,584,51.055,9.8633,121.55
240.74,585,51.377,9.9479,121.54
241.64,586,51.199,9.8088,121.53
244.45,591,50.997,9.6347,121.51
242.63,592,51.191,9.563,121.48
243.34,595,50.81,9.4271,121.48
240.7,596,51.02,9.3715,121.45
239.93,597,51.253,9.3597,121.42
243.83,600,50.609,9.2465,121.46
240.54,601,50.833,9.1984,121.43
237.52,602,51.049,9.0916,121.37
238.28,603,51.138,9.2432,121.41
240.07,618,50.24,8.9654,121.41
240.33,619,50.456,9.0659,121.42
240.47,620,50.644,9.0172,121.4
238.45,621,50.815,8.9899,121.37
238.41,622,50.921,9.0317,121.37
232.95,641,49.893,8.6921,121.35
234.56,642,50.094,8.79,121.37
235.98,643,50.29,8.7246,121.34
235.45,644,50.453,8.862,121.37
234.89,645,50.628,8.7932,121.33
236.21,646,50.771,8.844,121.33
234.74,663,49.872,8.2625,121.22
234.65,664,49.912,8.4742,121.29
234.62,665,50.09,8.5921,121.31
234.7,666,50.253,8.5151,121.28
234.85,667,50.378,8.5602,121.29
234.92,668,50.524,8.6282,121.29
234.66,679,49.992,8.3092,121.23
234.61,680,50.142,8.3679,121.24
217.53,774,52.27,14.047,121.38
218.19,775,52.106,13.965,121.4
217.06,776,52.148,14.201,121.34
216.88,777,52.38,13.905,121.4
220.62,778,52.196,13.808,121.43
220.96,779,52.498,13.767,121.42
222.94,780,52.312,13.659,121.45
225.23,781,52.631,13.657,121.43
225.37,782,52.439,13.511,121.47
228.34,783,52.582,13.491,121.46
215.98,788,51.983,14.21,121.34
216.54,789,51.933,13.977,121.39
215.93,790,51.848,14.117,121.36
220.43,791,51.997,13.767,121.43
229.52,792,52.568,13.317,121.48
241.28,793,52.514,12.913,121.53
235.56,794,52.608,13.118,121.5
238.17,795,52.616,12.945,121.52
217.15,802,51.751,14.181,121.34
219.57,803,51.702,13.94,121.39
218.83,804,51.659,14.126,121.35
220.66,805,51.772,13.753,121.43
242.74,806,52.587,12.75,121.54
245.34,807,52.52,12.499,121.56
223.02,818,51.508,13.873,121.4
222.4,819,51.549,14.072,121.35
225.05,820,51.564,13.696,121.44
246.81,821,52.432,12.325,121.59
247.01,822,52.386,12.147,121.6
223.09,836,51.374,13.99,121.36
225.03,837,51.243,13.828,121.39
225.34,838,51.359,13.694,121.43
228.58,839,51.413,13.475,121.48
247.01,840,52.385,11.955,121.6
247.01,841,52.223,11.832,121.62
247.01,842,52.268,11.702,121.62
225.34,854,51.176,13.655,121.42
228.56,855,51.2,13.436,121.47
229.45,856,51.107,13.148,121.52
247.01,857,52.173,11.51,121.62
235.37,865,50.932,13.027,121.53
236.45,866,50.852,12.76,121.57
247.01,867,52.064,11.4,121.64
247.01,868,51.959,11.343,121.65
247.01,869,52.022,11.27,121.64
242.65,877,50.692,12.644,121.58
243.84,878,50.568,12.374,121.61
246.92,879,52.034,11.151,121.63
251.68,888,50.542,11.937,121.66
250.08,889,50.487,12.109,121.64
243.96,890,51.937,11.027,121.63
256.71,901,50.441,11.789,121.66
253.88,902,50.335,11.877,121.65
240.9,903,51.871,10.886,121.62
253.04,914,50.153,11.725,121.65
240.62,915,51.802,10.763,121.62
252.07,926,49.995,11.625,121.65
240.45,927,51.796,10.621,121.6
251.41,943,49.715,11.506,121.64
251.88,944,49.854,11.452,121.65
237.8,945,51.772,10.267,121.55
238.63,946,51.763,10.433,121.58
236.11,955,51.641,10.117,121.54
240.02,959,51.371,9.8332,121.52
236.32,960,51.544,9.9005,121.51
238.91,963,51.367,9.6989,121.49
