"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
314.71,0,84.712,13.117,117.74
314.71,1,84.662,12.924,117.74
314.71,2,84.613,13.054,117.73
314.71,3,84.805,13.041,117.76
315.51,4,84.543,12.759,117.71
314.78,5,84.512,12.949,117.71
326.79,10,84.371,12.763,117.68
330.11,13,84.212,12.678,117.65
337.14,15,84.12,12.537,117.62
0,19,83.991,12.516,117.59
0,20,84.061,12.317,117.6
0,21,83.908,12.373,117.57
0,25,83.784,12.355,117.54
0,26,83.848,12.164,117.55
0,27,83.702,12.224,117.51
0,28,83.985,12.101,117.58
322.4,34,83.582,12.21,117.47
321.21,35,83.641,12.031,117.49
319.46,36,83.518,12.103,117.45
0,37,83.768,11.964,117.52
308.8,43,83.524,11.842,117.44
307.74,44,83.447,11.983,117.42
327.75,45,83.665,11.826,117.48
303.89,50,83.443,11.675,117.4
304.21,51,83.362,11.8,117.38
312.96,52,83.577,11.668,117.44
323.97,53,83.707,11.638,117.47
299.07,57,83.396,11.535,117.37
299.94,58,83.298,11.595,117.34
299.51,59,83.499,11.518,117.4
300.33,60,83.622,11.485,117.43
303.77,61,83.762,11.451,117.45
304.21,62,83.783,11.251,117.41
298.89,64,83.327,11.459,117.34
298.81,65,83.396,11.388,117.35
298.85,66,83.513,11.352,117.38
302.82,67,83.643,11.301,117.4
316.24,68,85.561,14.098,117.85
321.38,69,85.408,13.88,117.84
316.24,70,85.359,14.027,117.82
315.65,71,85.686,13.999,117.87
315.51,72,85.571,13.899,117.86
315.07,74,85.229,14.061,117.8
316.44,75,85.177,13.824,117.8
315.15,76,85.086,13.962,117.78
321.29,77,85.32,13.709,117.83
314.71,80,84.99,14.009,117.75
314.71,81,84.91,13.806,117.75
314.71,82,84.88,14.08,117.71
314.82,83,85.029,13.642,117.78
314.88,84,85.177,13.579,117.81
314.71,89,84.712,13.647,117.71
314.71,90,84.703,13.895,117.69
314.71,91,84.87,13.531,117.76
314.71,92,85.025,13.414,117.79
314.71,96,84.538,13.459,117.69
314.71,97,84.526,13.697,117.66
314.71,98,84.711,13.414,117.73
314.71,99,84.853,13.255,117.76
314.71,103,84.391,13.264,117.67
314.71,104,84.342,13.485,117.63
314.71,105,84.584,13.222,117.71
314.71,109,84.165,13.425,117.59
314.72,110,84.179,13.213,117.61
314.71,111,84.069,13.305,117.57
314.79,112,84.272,13.079,117.65
314.79,113,84.402,13.031,117.68
315.97,116,83.998,12.976,117.58
315.36,117,83.964,13.166,117.55
320.79,118,84.137,12.971,117.62
325.61,119,84.24,12.87,117.65
321.3,122,83.875,12.778,117.55
316.06,123,83.808,12.955,117.52
333.99,124,84.043,12.74,117.6
314.3,128,83.634,12.832,117.46
314.66,129,83.695,12.66,117.5
312.59,130,83.54,12.673,117.44
329.94,131,83.84,12.562,117.55
309.25,135,83.411,12.608,117.39
308.43,136,83.494,12.46,117.43
307.91,137,83.355,12.476,117.38
323.99,138,83.637,12.406,117.49
309.92,141,83.416,12.206,117.41
308.17,142,83.295,12.321,117.35
307.57,146,83.287,11.957,117.35
307.62,147,83.206,12.1,117.32
305.42,150,83.212,11.731,117.32
307.36,151,83.101,11.849,117.27
307.58,154,82.961,11.667,117.2
307.44,155,83.073,11.593,117.25
307.59,156,82.92,11.515,117.17
303.16,157,83.179,11.511,117.29
305.38,161,82.984,11.433,117.2
302.75,162,82.956,11.321,117.17
300.98,163,83.083,11.336,117.23
298.86,164,83.247,11.339,117.29
298.81,165,83.386,11.234,117.32
298.84,166,83.513,11.195,117.34
301.04,167,83.615,11.096,117.34
298.75,170,83.018,11.13,117.17
298.79,171,82.919,11.195,117.14
298.4,172,83.157,11.161,117.23
298.18,173,83.281,11.133,117.26
298.12,174,83.412,11.041,117.28
298.63,175,83.52,10.884,117.27
299.45,176,83.643,10.96,117.31
294.26,177,82.99,10.978,117.13
294.8,178,82.869,10.999,117.08
291.99,179,83.094,11.013,117.18
291.95,180,83.209,10.942,117.2
