"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
314.71,8,84.845,12.722,117.75
326.25,11,84.622,12.572,117.71
325.22,12,84.777,12.564,117.73
0,17,84.577,12.326,117.69
331.43,18,84.721,12.436,117.71
0,24,84.504,12.184,117.66
0,31,84.453,12.057,117.64
0,33,84.488,11.874,117.62
0,41,84.229,11.725,117.57
0,42,84.353,11.824,117.6
0,49,84.128,11.516,117.51
320.31,56,84.043,11.322,117.46
315.2,73,85.738,13.849,117.88
315.09,79,85.658,13.693,117.87
314.79,85,85.345,13.532,117.83
314.96,86,85.61,13.566,117.86
315.29,87,85.491,13.501,117.85
316.96,88,85.621,13.377,117.85
314.71,93,85.208,13.364,117.81
315.41,94,85.401,13.339,117.83
318.37,95,85.481,13.17,117.83
314.71,100,85.064,13.189,117.79
315.48,101,85.268,13.164,117.81
319.81,102,85.341,12.974,117.8
314.71,106,84.951,12.982,117.77
315.12,107,85.141,12.971,117.79
317.37,108,85.217,12.769,117.77
314.77,114,85.024,12.75,117.76
314.84,115,85.106,12.554,117.75
317.51,120,84.91,12.498,117.73
315.87,121,85.024,12.335,117.71
0,125,84.74,12.276,117.69
318.18,126,84.876,12.265,117.7
316.33,127,84.935,12.108,117.68
0,132,84.61,12.084,117.66
317.82,133,84.767,12.071,117.66
316.18,134,84.835,11.901,117.63
317.59,139,84.649,11.86,117.62
315.94,140,84.762,11.728,117.59
0,143,84.377,11.702,117.58
313.61,144,84.652,11.665,117.58
312.62,145,84.494,11.625,117.56
0,148,84.299,11.534,117.53
310.37,149,84.391,11.39,117.5
309.29,152,84.203,11.324,117.48
308.06,153,84.321,11.21,117.45
308.02,159,84.213,11.131,117.42
307.3,160,84.062,11.1,117.4
305.37,168,83.919,11.051,117.38
302.45,169,83.778,11.01,117.35
322.96,189,86.858,15.321,117.99
321.9,190,86.7,15.134,117.98
324.06,191,86.678,15.277,117.96
319.85,192,86.936,15.232,118
315.06,196,86.538,14.981,117.96
316.65,197,86.859,15.092,118
314.93,198,86.698,14.94,117.99
318,199,86.904,14.99,118.01
314.87,203,86.503,14.788,117.97
319.41,204,86.817,14.845,118
319.47,205,86.66,14.751,117.98
320.8,206,86.812,14.675,118
314.73,210,86.317,14.662,117.94
319.45,211,86.524,14.567,117.97
322.74,212,86.702,14.518,117.98
319.45,217,86.279,14.445,117.94
324.07,218,86.631,14.35,117.97
324.07,219,86.433,14.36,117.95
324.66,220,86.459,14.177,117.95
319.41,225,86.065,14.292,117.92
324.11,226,86.257,14.224,117.93
324.6,227,86.303,14.025,117.93
319.71,233,86.077,14.063,117.91
321.22,234,86.165,13.871,117.91
315.87,238,85.934,13.846,117.89
319.63,239,86.085,13.752,117.9
315.06,242,85.774,13.61,117.87
322.45,243,86.037,13.634,117.89
322.53,244,85.917,13.578,117.88
323.23,245,86.051,13.425,117.87
322.74,249,85.828,13.381,117.86
325.3,250,85.915,13.181,117.84
322.75,253,85.692,13.181,117.83
326.61,254,85.743,12.985,117.81
322.73,259,85.544,12.984,117.81
327.67,260,85.598,12.793,117.79
318.7,264,85.409,12.784,117.78
321.22,265,85.472,12.592,117.76
314.79,280,85.294,12.575,117.75
315.05,281,85.372,12.374,117.72
314.71,307,85.196,12.367,117.72
314.71,308,85.276,12.18,117.68
314.71,325,85.099,12.161,117.68
314.71,326,85.171,12.012,117.65
314.71,336,84.997,11.937,117.64
314.71,337,85.11,11.86,117.62
314.71,342,85.023,11.761,117.6
314.68,343,84.893,11.687,117.58
311.17,348,84.612,11.543,117.55
311.64,349,84.759,11.514,117.54
308.01,354,84.55,11.401,117.51
308.22,355,84.681,11.341,117.49
307.73,360,84.585,11.237,117.46
307.6,361,84.451,11.171,117.44
307.37,367,84.166,10.989,117.38
307.34,368,84.329,11.006,117.39
303.03,374,83.924,10.926,117.34
306.13,375,84.213,10.877,117.34
303.25,376,84.056,10.834,117.32
298.6,384,83.657,10.835,117.28
299.81,385,83.927,10.794,117.3
298.7,386,83.797,10.764,117.27
292.83,394,83.663,10.719,117.24
0,416,87.451,16.09,117.98
0,417,87.235,15.952,117.97
0,418,87.301,16.098,117.96
337.21,419,87.571,15.999,118.01
339.67,420,87.355,15.869,118
317.22,421,87.641,15.934,118.02
321.48,422,87.468,15.771,118.02
319.68,423,87.688,15.869,118.03
336.31,424,87.033,15.884,117.95
332,426,87.142,15.767,117.98
327.09,427,87.256,15.642,118.01
320.42,428,87.596,15.715,118.03
324.2,429,87.402,15.531,118.03
323.72,430,87.66,15.623,118.04
323.02,433,86.926,15.689,117.96
329.96,434,87.043,15.582,117.99
325.36,435,87.112,15.41,118.01
323.71,436,87.6,15.44,118.05
323.07,437,87.32,15.297,118.03
323.68,438,87.506,15.277,118.04
326.02,442,86.811,15.476,117.96
317.64,443,87.083,15.158,118.02
322.51,444,87.465,15.118,118.04
321.66,445,87.224,15.061,118.03
322.32,446,87.354,15.005,118.04
319.45,450,87.009,14.893,118.01
324.14,451,87.28,14.897,118.03
324.1,452,87.148,14.844,118.02
324.71,453,87.26,14.719,118.02
324.65,457,87.024,14.672,118.01
328.04,458,87.105,14.497,118
324.46,461,86.863,14.476,117.99
331.46,462,86.941,14.352,117.98
331.26,469,86.795,14.234,117.97
330,470,86.637,14.138,117.95
330.59,471,86.769,13.97,117.94
327.42,477,86.518,13.978,117.94
328.02,478,86.557,13.782,117.91
324.96,486,86.354,13.823,117.91
326.71,487,86.386,13.632,117.9
322.83,496,86.208,13.629,117.89
326.66,497,86.293,13.411,117.86
329.46,507,86.131,13.261,117.85
330.49,517,86.105,13.101,117.82
330.41,518,86.013,13.024,117.81
331.06,519,86.134,12.895,117.78
330.44,533,85.915,12.928,117.8
