"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
315.81,0,84.599,13.178,122.31
316.89,1,84.529,13.001,122.3
315.84,2,84.447,13.101,122.28
315.84,3,84.718,13.019,122.32
313.22,4,84.329,13.117,122.26
311.96,5,84.344,12.875,122.26
311.68,6,84.234,13.006,122.23
314.52,7,84.53,12.851,122.29
313.57,8,84.652,12.765,122.3
311.4,9,84.22,12.668,122.22
309.23,10,84.121,12.865,122.2
312.88,11,84.426,12.651,122.26
311.62,12,84.585,12.616,122.28
309.21,13,83.946,12.804,122.16
309.87,15,83.843,12.66,122.12
307.6,21,83.712,12.655,122.08
307.56,23,83.64,12.543,122.05
303.79,30,83.554,12.418,122.02
298.91,36,83.506,12.039,121.98
298.85,37,83.438,12.229,121.97
299.21,38,83.673,12.018,122.03
298.81,42,83.412,11.855,121.93
298.81,43,83.329,12.017,121.91
298.95,44,83.571,11.843,121.97
302.88,45,83.72,11.819,122.01
298.81,48,83.359,11.697,121.89
298.81,49,83.238,11.779,121.85
298.82,50,83.487,11.671,121.92
298.92,51,83.647,11.642,121.96
298.84,52,83.683,11.432,121.92
298.81,54,83.276,11.614,121.84
298.81,55,83.363,11.524,121.85
298.81,56,83.512,11.482,121.89
314.71,57,85.403,14.407,122.45
314.71,58,85.237,14.161,122.43
314.71,59,85.155,14.332,122.4
314.71,60,85.58,14.331,122.48
314.71,61,85.478,14.145,122.47
314.71,62,85.703,14.241,122.5
314.71,63,84.987,14.385,122.35
314.71,64,84.952,14.114,122.36
314.71,65,84.847,14.297,122.32
314.71,66,85.105,13.962,122.4
314.71,67,85.303,13.947,122.44
314.71,69,85.499,13.93,122.47
314.71,71,84.723,13.932,122.32
314.71,72,84.694,14.191,122.29
314.71,73,84.928,13.824,122.37
314.71,74,85.143,13.74,122.41
314.71,75,85.368,13.734,122.45
314.71,77,84.525,13.762,122.28
314.71,78,84.486,14.021,122.24
314.71,79,84.751,13.65,122.33
314.71,80,84.966,13.551,122.38
314.71,81,85.223,13.507,122.42
314.71,83,84.36,13.57,122.24
314.71,84,84.274,13.804,122.2
314.71,85,84.576,13.52,122.3
314.71,86,84.765,13.337,122.34
314.71,87,85.026,13.304,122.38
314.71,89,85.226,13.26,122.4
314.71,91,84.045,13.728,122.13
314.62,92,84.102,13.495,122.17
314.61,93,83.908,13.586,122.1
314.57,94,84.268,13.392,122.23
314.66,95,84.454,13.323,122.28
314.7,96,84.922,13.072,122.35
312.41,99,83.743,13.58,122.04
311.18,100,83.811,13.343,122.09
311.5,101,83.627,13.414,122.01
311.17,102,83.993,13.254,122.16
311.15,103,84.172,13.196,122.21
309.52,107,83.475,13.388,121.94
307.7,108,83.541,13.15,122
307.67,109,83.372,13.201,121.92
307.71,110,83.709,13.094,122.07
307.76,111,83.853,13.114,122.12
307.68,112,83.984,13.018,122.16
307.61,116,83.235,13.162,121.85
307.61,117,83.294,12.927,121.9
307.89,118,83.157,13.009,121.83
307.6,119,83.452,12.875,121.98
307.6,120,83.602,12.927,122.03
307.6,121,83.768,12.872,122.1
307.59,124,83.139,12.647,121.84
307.6,125,83.063,12.841,121.79
307.57,126,83.329,12.666,121.93
307.47,127,83.539,12.682,122.01
307.53,130,83.009,12.384,121.78
307.6,131,82.937,12.592,121.73
305.39,132,83.197,12.426,121.87
303.35,133,83.385,12.45,121.95
307.47,136,82.9,12.123,121.72
307.59,137,82.817,12.318,121.67
303.21,138,83.082,12.178,121.81
299,139,83.261,12.217,121.89
305.27,142,82.81,11.87,121.65
305.6,143,82.713,12.046,121.61
301.73,144,82.988,11.926,121.75
298.92,145,83.158,11.974,121.83
302.83,148,82.735,11.629,121.59
303.41,149,82.631,11.785,121.54
300.36,150,82.907,11.688,121.69
298.87,151,83.08,11.718,121.77
298.44,154,82.67,11.401,121.52
299.9,155,82.568,11.534,121.48
298.45,156,82.834,11.465,121.62
298.79,157,83.001,11.494,121.7
298.81,158,83.182,11.477,121.77
298.81,159,83.348,11.339,121.8
298.81,160,83.519,11.302,121.84
298.81,162,83.62,11.146,121.82
294.45,163,82.619,11.187,121.46
296.99,164,82.516,11.286,121.41
296.5,165,82.765,11.259,121.55
298.73,166,82.92,11.281,121.62
298.42,167,83.064,11.287,121.69
298.14,168,83.206,11.184,121.71
298.75,169,83.415,11.138,121.77
298.75,170,83.495,10.925,121.72
290.42,171,82.598,11.018,121.41
291.79,172,82.476,11.031,121.33
290.66,173,82.716,11.057,121.48
291.24,174,82.845,11.11,121.55
291.6,175,82.985,11.045,121.59
291.75,176,83.112,10.983,121.63
293.17,177,83.209,10.989,121.67
298.1,178,83.324,10.967,121.69
289.54,179,82.536,10.902,121.34
286.9,180,82.638,10.866,121.38
284.81,181,82.708,10.764,121.39
284.2,182,82.812,10.922,121.49
284.43,183,82.898,10.742,121.46
287.98,184,83.034,10.841,121.55
283.55,185,82.791,10.752,121.42
314.76,190,86.453,15.88,122.52
314.82,191,86.356,15.636,122.54
314.78,192,86.297,15.809,122.5
314.72,197,86.07,15.485,122.5
314.72,198,86.11,15.729,122.47
314.83,199,86.255,15.378,122.55
314.71,204,85.844,15.312,122.47
314.71,205,85.836,15.58,122.43
314.76,206,86.031,15.217,122.52
315.73,207,86.22,15.127,122.56
314.71,212,85.618,15.14,122.44
314.71,213,85.653,15.362,122.42
314.71,214,85.81,15.045,122.49
314.72,215,86.007,14.95,122.53
314.71,219,85.39,15.013,122.39
314.71,220,85.43,15.25,122.37
314.71,221,85.582,14.896,122.45
314.71,222,85.776,14.774,122.5
314.71,226,85.166,14.865,122.35
314.71,227,85.2,15.122,122.32
314.71,228,85.357,14.787,122.41
314.71,229,85.508,14.639,122.45
314.72,230,85.761,14.497,122.5
314.71,233,84.959,14.728,122.31
314.71,234,84.97,14.974,122.28
314.71,235,85.164,14.583,122.38
314.71,238,84.779,14.507,122.28
314.71,239,84.741,14.79,122.23
314.71,243,84.5,14.317,122.21
314.71,244,84.506,14.601,122.17
314.71,259,84.265,14.111,122.16
314.71,260,84.257,14.394,122.12
314.84,275,84.041,14.34,122.05
315.05,276,83.98,14.119,122.05
317.01,277,83.855,14.342,121.97
314.71,278,84.08,13.929,122.12
318.07,291,83.651,14.219,121.9
317.34,292,83.661,13.992,121.94
320.88,293,83.438,14.147,121.81
314.67,294,83.833,13.828,122.04
320.23,313,83.221,13.942,121.74
314.2,314,83.364,13.77,121.84
316.08,315,83.129,13.702,121.73
312.24,316,83.56,13.666,121.94
315.04,330,82.947,13.566,121.65
311.38,331,83.085,13.425,121.74
313.86,332,82.873,13.364,121.64
307.99,333,83.299,13.433,121.85
318.44,343,82.363,12.969,121.36
317.47,344,82.361,12.724,121.38
317.57,345,82.233,12.744,121.29
315.99,346,82.591,13.151,121.49
314.28,347,82.56,12.896,121.49
313.51,348,82.742,13.267,121.57
311.21,349,82.816,13.081,121.63
309.39,350,83.052,13.133,121.76
314.67,355,82.312,12.516,121.36
314.71,356,82.141,12.521,121.23
311.16,357,82.483,12.612,121.47
307.86,358,82.678,12.742,121.58
307.64,359,82.88,12.834,121.69
313.47,362,82.198,12.361,121.28
310.69,363,82.181,12.202,121.27
309.7,364,82.367,12.339,121.4
307.76,365,82.551,12.416,121.51
307.6,366,82.746,12.526,121.63
309.19,369,82.269,12.136,121.33
307.98,370,82.243,12.002,121.31
307.64,371,82.414,12.089,121.42
307.59,372,82.622,12.223,121.55
307.33,374,82.335,11.768,121.35
307.94,375,82.206,11.832,121.26
306.43,376,82.524,11.935,121.48
306.81,379,82.282,11.493,121.28
307.94,380,82.14,11.558,121.19
304.98,381,82.456,11.66,121.42
307.56,384,82.015,11.341,121.06
306.75,385,82.133,11.24,121.13
307.69,386,81.989,11.18,121.01
304.28,387,82.281,11.27,121.25
301.42,388,82.414,11.408,121.36
305.15,391,82.093,10.945,121.04
307.97,392,81.97,11.002,120.96
302.04,393,82.232,11.05,121.17
298.28,394,82.377,11.153,121.29
302.58,397,82.089,10.735,120.98
307.09,398,81.956,10.73,120.87
296.75,399,82.21,10.812,121.09
293.66,400,82.346,10.9,121.21
291.81,401,83.183,10.815,121.6
292.61,402,83.353,10.753,121.63
300.81,405,82.032,10.573,120.88
297.71,406,82.054,10.417,120.84
291.26,407,82.168,10.577,120.99
289.4,408,82.31,10.651,121.11
287.53,409,82.463,10.739,121.24
285.46,410,82.605,10.69,121.31
284.8,411,83.029,10.649,121.49
285.17,412,83.196,10.649,121.55
285.32,413,83.282,10.51,121.52
288.15,415,82.137,10.382,120.89
284.6,416,82.158,10.27,120.86
283.53,417,82.261,10.401,120.98
281.57,418,82.402,10.483,121.11
280.38,419,82.551,10.532,121.22
279.52,420,82.73,10.59,121.33
280.41,421,82.996,10.485,121.41
279.61,422,82.859,10.462,121.34
283.84,423,83.117,10.502,121.46
282.46,424,82.196,10.138,120.81
279.01,425,82.345,10.231,120.96
278.15,426,82.496,10.324,121.1
278.25,427,82.663,10.405,121.22
319.84,436,86.799,16.672,122.44
319.08,437,86.644,16.442,122.46
318.8,438,86.634,16.624,122.41
312.56,445,86.37,16.296,122.43
312.04,446,86.416,16.545,122.38
314.66,447,86.526,16.202,122.48
313.61,451,86.168,16.131,122.41
313.37,452,86.148,16.359,122.35
314.66,453,86.308,16.007,122.47
313.94,457,86.004,16.124,122.37
314.66,458,85.806,16.034,122.33
314.71,459,85.968,15.891,122.41
314.71,467,85.766,15.753,122.38
314.71,468,85.611,15.857,122.31
314.71,477,85.601,15.66,122.35
314.71,478,85.515,15.485,122.36
314.71,491,85.265,15.386,122.3
