header
64.137,723,64.343,17.433,130.13
0,975,64.616,17.496,130.03
102.22,976,64.829,17.292,129.99
99.53,988,64.575,17.353,130.07
103.11,989,64.81,17.172,130.03
95.752,1004,64.228,17.363,130.18
101.71,1005,64.702,17.162,130.06
97.345,1006,64.527,17.175,130.12
97.237,1013,64.3,17.221,130.18
109.42,1260,65.383,17.086,129.83
106.86,1276,65.103,17.184,129.92
114.08,1277,65.336,16.969,129.87
111.43,1286,65.159,17.037,129.93
110.53,1287,64.995,17.09,129.98
98.864,1294,64.695,16.958,130.1
104.65,1295,64.928,16.956,130.02
87.789,1299,64.371,17.053,130.18
115.78,1610,65.902,16.942,129.63
115.53,1619,65.646,16.998,129.74
117.58,1620,65.871,16.77,129.69
115.46,1633,65.599,16.854,129.79
115.49,1634,65.834,16.638,129.74
111.47,1644,65.19,16.902,129.94
115.24,1645,65.673,16.663,129.81
114.01,1646,65.437,16.788,129.87
98.411,1650,64.804,16.823,130.09
105.42,1651,65.058,16.736,130.02
111.35,1652,65.296,16.699,129.94
83.6,1658,64.603,16.839,130.14
119.3,2071,66.127,16.807,129.56
116.9,2087,66.115,16.686,129.6
115.63,2102,66.258,16.499,129.59
113.38,2103,66.071,16.49,129.68
113.19,2110,65.579,16.608,129.85
112.23,2111,65.892,16.431,129.77
105.33,2114,64.885,16.721,130.07
107.41,2115,65.084,16.584,130.03
109.5,2116,65.389,16.454,129.95
112.08,2117,65.601,16.481,129.87
42.104,2124,64.66,16.658,130.15
105.23,2125,64.847,16.647,130.1
98.595,2357,71.576,11.177,127.85
97.73,2358,71.567,11.001,127.88
97.578,2359,71.458,11.138,127.96
101.67,2360,71.743,11.091,127.7
100.3,2361,71.699,10.965,127.76
103.88,2362,71.843,11.027,127.61
102.9,2363,71.844,10.885,127.62
99.598,2364,71.918,10.959,127.54
95.498,2378,71.335,11.176,128.06
93.983,2379,71.419,10.992,128.01
93.913,2380,71.286,11.106,128.11
94.087,2381,71.552,10.864,127.9
95.505,2382,71.669,10.821,127.8
